sin2_in,mt_dcp,mH_dcp,sin2_MZ,RG_ok,SPD_ok,¥ë_min
0.245,160,115,0.261448,False,True,2.223650e+05
0.245,160,135,0.261448,False,True,2.223650e+05
0.245,190,115,0.261448,False,True,2.223650e+05
0.245,190,135,0.261448,False,True,2.223650e+05
0.24505,160,115,0.261499,False,True,2.223650e+05
0.24505,160,135,0.261499,False,True,2.223650e+05
0.24505,190,115,0.261498,False,True,2.223650e+05
0.24505,190,135,0.261498,False,True,2.223650e+05
0.24509999999999998,160,115,0.261549,False,True,2.223650e+05
0.24509999999999998,160,135,0.261549,False,True,2.223650e+05
0.24509999999999998,190,115,0.261548,False,True,2.223650e+05
0.24509999999999998,190,135,0.261548,False,True,2.223650e+05
0.24514999999999998,160,115,0.261599,False,True,2.223650e+05
0.24514999999999998,160,135,0.261599,False,True,2.223650e+05
0.24514999999999998,190,115,0.261598,False,True,2.223650e+05
0.24514999999999998,190,135,0.261598,False,True,2.223650e+05
0.24519999999999997,160,115,0.261649,False,True,2.223650e+05
0.24519999999999997,160,135,0.261649,False,True,2.223650e+05
0.24519999999999997,190,115,0.261649,False,True,2.223650e+05
0.24519999999999997,190,135,0.261649,False,True,2.223650e+05
0.24524999999999997,160,115,0.261700,False,True,2.223650e+05
0.24524999999999997,160,135,0.261700,False,True,2.223650e+05
0.24524999999999997,190,115,0.261699,False,True,2.223650e+05
0.24524999999999997,190,135,0.261699,False,True,2.223650e+05
0.24529999999999996,160,115,0.261750,False,True,2.223650e+05
0.24529999999999996,160,135,0.261750,False,True,2.223650e+05
0.24529999999999996,190,115,0.261749,False,True,2.223650e+05
0.24529999999999996,190,135,0.261749,False,True,2.223650e+05
0.24534999999999996,160,115,0.261800,False,True,2.223650e+05
0.24534999999999996,160,135,0.261800,False,True,2.223650e+05
0.24534999999999996,190,115,0.261800,False,True,2.223650e+05
0.24534999999999996,190,135,0.261800,False,True,2.223650e+05
0.24539999999999995,160,115,0.261851,False,True,2.223650e+05
0.24539999999999995,160,135,0.261851,False,True,2.223650e+05
0.24539999999999995,190,115,0.261850,False,True,2.223650e+05
0.24539999999999995,190,135,0.261850,False,True,2.223650e+05
0.24544999999999995,160,115,0.261901,False,True,2.223650e+05
