Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.2325,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.23275000000000004,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.233,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.23324999999999999,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
